source,extension,size_bytes,sha256,status,canonical_source,chunks,error
Analyst Personalities #U0393#U00c7#U00f4 Roles _ 16Personalities(1).pdf,pdf,497180,e94aabefd78cc2a86c9c50d808bb6ae476610b7932f30ac33d9ceaeb6adb6970,indexed,Analyst Personalities #U0393#U00c7#U00f4 Roles _ 16Personalities(1).pdf,7,
Assertive vs. Turbulent Personality Traits _ 16Personalities (1)(1).pdf,pdf,386284,f79deaaf130fefb3a6a5ba601e2d7c8477f9b1da3955df0237ea0edd6aadaec1,indexed,Assertive vs. Turbulent Personality Traits _ 16Personalities (1)(1).pdf,6,
Assertive vs. Turbulent Personality Traits _ 16Personalities(1).pdf,pdf,386284,f79deaaf130fefb3a6a5ba601e2d7c8477f9b1da3955df0237ea0edd6aadaec1,duplicate_skipped,Assertive vs. Turbulent Personality Traits _ 16Personalities (1)(1).pdf,6,
Confident Individualism Personalities #U0393#U00c7#U00f4 Strategies _ 16Personalities(1).pdf,pdf,533042,174b61f9fbcd22227279d0c47d1492d880ac7d77703c8d388c2872c1c776e4ee,indexed,Confident Individualism Personalities #U0393#U00c7#U00f4 Strategies _ 16Personalities(1).pdf,8,
Constant Improvement Personalities #U0393#U00c7#U00f4 Strategies _ 16Personalities(1).pdf,pdf,423381,59fcaff3efc509c419b1bee47ba4178392e421a8f662ceb588d53e6fbb25bc46,indexed,Constant Improvement Personalities #U0393#U00c7#U00f4 Strategies _ 16Personalities(1).pdf,6,
Diplomat Personalities #U0393#U00c7#U00f4 Roles _ 16Personalities(1).pdf,pdf,524029,5adcf1f6d68542a3e51d16fa9ac932c87d6c0e073d567bdd60e94a3cc98f2386,indexed,Diplomat Personalities #U0393#U00c7#U00f4 Roles _ 16Personalities(1).pdf,7,
Explorer Personalities #U0393#U00c7#U00f4 Roles _ 16Personalities(1).pdf,pdf,388875,9130342a2abbdf700a6431972ba082edbf06338688162c32e92d5a31065aad7b,indexed,Explorer Personalities #U0393#U00c7#U00f4 Roles _ 16Personalities(1).pdf,6,
Our Framework _ 16Personalities(1).pdf,pdf,462742,27d2a7ef9745b7c423cefb613f66758db21a191c5b1d403adedf8b4fd15c9530,indexed,Our Framework _ 16Personalities(1).pdf,12,
People Mastery Personalities #U0393#U00c7#U00f4 Strategies _ 16Personalities(1).pdf,pdf,529382,e86431495989ee38b08aeb4a08f42ee87be25633c2bc3d60dfb0fed888df045e,indexed,People Mastery Personalities #U0393#U00c7#U00f4 Strategies _ 16Personalities(1).pdf,7,
Personality Roles Defined _ 16Personalities(1).pdf,pdf,469720,aa6a570f9f8de8e46c370029abbe2dbe3f940f4690a5be38ec674d35e2b06f48,indexed,Personality Roles Defined _ 16Personalities(1).pdf,4,
Personality Strategies Defined _ 16Personalities(1).pdf,pdf,317188,f90620ca5a6c9f35a9305afc73d08382553562db78595e46b3161af4a3790dbc,indexed,Personality Strategies Defined _ 16Personalities(1).pdf,3,
Sentinel Personalities #U0393#U00c7#U00f4 Roles _ 16Personalities(1).pdf,pdf,493799,286375ba6a1e15e51023a5d18c3c78d15fd6e69bf62494bfe9df88b5af5e88ab,indexed,Sentinel Personalities #U0393#U00c7#U00f4 Roles _ 16Personalities(1).pdf,6,
Social Engagement Personalities #U0393#U00c7#U00f4 Strategies _ 16Personalities(1).pdf,pdf,527578,f93a215a45223c57c026306e7081fcf5188157b66c9eee17993e995cc4784e9c,indexed,Social Engagement Personalities #U0393#U00c7#U00f4 Strategies _ 16Personalities(1).pdf,7,
The Humane Connection System.docx,docx,24145,af54f3d1319493ae1be0a685c7a9c13b9820d569bd9129048d83f2b9423a8868,indexed,The Humane Connection System.docx,7,
Video 1 - The Performance Doctrine - Copy.docx,docx,43521,886af30e74a5fb2fe6eff2e3956527ace516a38e3b10252b36312304fbc1ac27,indexed,Video 1 - The Performance Doctrine - Copy.docx,5,
Video 2 - Core Session Architecture and Structural Discipline.docx,docx,41925,7dacf05c49f050f6489861420f61a6dcab4f53addce52798d67fe4f5d8638007,indexed,Video 2 - Core Session Architecture and Structural Discipline.docx,8,
Video 3 - Observational Discipline and Real-Time Assessment.docx,docx,36776,390b1311ffde84759e80c1763c983b9f5e0c6c48a987647c50f93afa2780e501,indexed,Video 3 - Observational Discipline and Real-Time Assessment.docx,5,
Video 4 - Diagnosis and Gap Classification.docx,docx,77819,305cc2c4e5628bae22469c9168f1301d780a102209f4a6f16f5fe55535bd3997,indexed,Video 4 - Diagnosis and Gap Classification.docx,30,
"Video 7 - Risk, Escalation, Ethics, and Psychological Safety Boundaries.docx",docx,40743,4addb3bd41500a89e96b531ae794a52b86602ee4dd79d22f0789a3e7cddb6e70,indexed,"Video 7 - Risk, Escalation, Ethics, and Psychological Safety Boundaries.docx",19,
